epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,3248.64,1.01093,0.72527,1.15919,0.54139,0.4934,0.47439,0.22168,1.93171,1.57865,1.93319,0.000632793,0.000632793,0.000632793
96,3281.16,0.9874,0.70632,1.13858,0.56262,0.47677,0.47615,0.22831,1.9051,1.54879,1.92545,0.000621791,0.000621791,0.000621791
97,3314.98,0.99465,0.7096,1.15041,0.54417,0.51168,0.49176,0.23631,1.93589,1.53033,1.95047,0.000610789,0.000610789,0.000610789
98,3349.32,0.97807,0.71876,1.13893,0.55799,0.5118,0.46959,0.22584,1.9483,1.45325,1.98267,0.000599787,0.000599787,0.000599787
99,3383.18,0.98799,0.70345,1.14483,0.52244,0.50944,0.46224,0.21741,1.95845,1.55878,1.98469,0.000588784,0.000588784,0.000588784
100,3417.3,0.96885,0.69694,1.13117,0.59908,0.49344,0.47469,0.21482,1.94717,1.56676,1.95369,0.000577782,0.000577782,0.000577782
101,3449.37,0.95337,0.69678,1.13156,0.59517,0.50598,0.49116,0.22627,1.94055,1.54407,1.97552,0.00056678,0.00056678,0.00056678
102,3484.82,0.95436,0.68873,1.13063,0.50731,0.5257,0.46893,0.21305,1.98805,1.53173,2.01193,0.000555778,0.000555778,0.000555778
103,3518.58,0.95349,0.67693,1.12675,0.5596,0.49652,0.46364,0.22026,1.96372,1.52188,1.97748,0.000544776,0.000544776,0.000544776
104,3552.7,0.94516,0.67456,1.12669,0.6058,0.49012,0.49367,0.2376,1.92363,1.55554,1.94786,0.000533773,0.000533773,0.000533773
105,3586.26,0.93473,0.67477,1.12282,0.55778,0.49472,0.45793,0.21033,1.98502,1.59232,2.00086,0.000522771,0.000522771,0.000522771
106,3620.12,0.95046,0.67698,1.12436,0.56632,0.48159,0.48557,0.21736,1.96579,1.57706,1.99157,0.000511769,0.000511769,0.000511769
107,3654.71,0.92604,0.66887,1.12352,0.51417,0.50624,0.46932,0.21928,1.9856,1.55631,1.98592,0.000500767,0.000500767,0.000500767
108,3687.59,0.91232,0.65771,1.10683,0.61695,0.48403,0.45906,0.21429,1.94006,1.62534,1.98702,0.000489765,0.000489765,0.000489765
109,3720.66,0.91532,0.6442,1.10689,0.60275,0.49268,0.50948,0.23311,1.95131,1.53122,1.9983,0.000478762,0.000478762,0.000478762
110,3753.14,0.93324,0.69221,1.12342,0.54188,0.49584,0.48163,0.21918,1.96727,1.50479,2.00001,0.00046776,0.00046776,0.00046776
